base_feature,importance
moisture_stress_index,0.615934530211648
vegetation_health_index,0.14219105810467117
heat_risk_index,0.09230588072283168
rainfall_mm,0.0682958978119378
heat_stress_days,0.015237528618043492
trait_resilience_score,0.007942401939042944
rainfall_deficit,0.007121116259549679
canopy_temperature_c,0.0066193767578946894
genetic_drought_score,0.006579275224494594
root_depth_score,0.00628489335459216
biomass_index,0.004976449577556301
stay_green_score,0.004335564467262034
ndvi,0.0033411923238641263
temperature_avg_c,0.003036654656670098
flowering_days,0.002998334080513407
plant_height_cm,0.002817357837147783
soil_moisture_pct,0.002377378328878904
soil_organic_matter,0.0023120513011720824
water_holding_capacity,0.002085144849027664
soil,0.0011548833380330675
maturity,0.0007207945850121077
year,0.0007040732507823942
region,0.0006281623993737843
